id,titulo,empresa,link,data_coleta
0361e1b1,"TRILHOS l LÍDER DE ATENDIMENTO E MANUTENÇÃO
Salvador - BA
Efetivo",MOTIVA,https://motiva.gupy.io/jobs/10901810?jobBoardSource=gupy_public_page,2026-03-02T20:45:07.369770
35313fee,"GESTOR ADMINISTRATIVO - NACIONAL
Catu - BA
Efetivo",PERBRAS,https://perbras.gupy.io/jobs/10920794?jobBoardSource=gupy_public_page,2026-03-02T20:45:07.369770
9b5bd7c2,"Operador(a) de Execução e Vendas - RIO REAL/ BA
Feira de Santana - BA
Efetivo",SOLAR COCA COLA,https://solarcocacola.gupy.io/jobs/10912845?jobBoardSource=gupy_public_page,2026-03-02T20:45:07.369770
6b38696c,"Promotor(a) de Vendas - Santo Antônio de Jesus
Salvador - BA
Efetivo",SOLAR COCA COLA,https://solarcocacola.gupy.io/jobs/10840881?jobBoardSource=gupy_public_page,2026-03-02T20:45:07.369770
ffbcfc04,"Analista de Suprimentos JR | Salvador
Salvador - BA
Efetivo",WILSON SONS,https://wilsonsons.gupy.io/jobs/10925414?jobBoardSource=gupy_public_page,2026-03-02T20:45:07.369770
51556dd8,"Analista de Suprimentos SR | Salvador
Salvador - BA
Efetivo",WILSON SONS,https://wilsonsons.gupy.io/jobs/10925103?jobBoardSource=gupy_public_page,2026-03-02T20:45:07.369770
b5820c46,"Médico(a) do Trabalho | Salvador
Salvador - BA
Efetivo",WILSON SONS,https://wilsonsons.gupy.io/jobs/10825130?jobBoardSource=gupy_public_page,2026-03-02T20:45:07.369770
a0c2a857,Analista Processos e Riscos TI Sênior,NEOENERGIA,https://iberdrola.wd3.myworkdayjobs.com/pt-BR/Iberdrola/job/Brasil-Salvador/Analista-Processos-e-Riscos-TI-Snior_R-27188-1?q=Salvador,2026-03-02T20:45:07.369770
52310ff5,Especialista em Desenvolvimento SAP ABAP (IS‑U/CCS),NEOENERGIA,https://iberdrola.wd3.myworkdayjobs.com/pt-BR/Iberdrola/job/Brasil-Salvador/Especialista-em-Desenvolvimento-de-Software-ABAP-Netweaver_R-23728?q=Salvador,2026-03-02T20:45:07.369770
c47904f9,Estagio técnico,KIMBERLY-CLARK,https://kimberlyclark.wd1.myworkdayjobs.com/pt-BR/GLOBAL/job/Brazil-Camacari/Estagio-tcnico_881885-1?q=Cama%C3%A7ari,2026-03-02T20:45:07.369770
d35d66ca,Coordenador (a) de Infraestrutura e Operações de TI C04ABS,ACELEN,https://acelen.jobs.recrut.ai/job/C04ABS,2026-03-02T20:45:07.369770
02cb91ac,ENGENHEIRO(A) DE INSTRUMENTAÇÃO SR 94QBH0,ACELEN,https://acelen.jobs.recrut.ai/job/94QBH0,2026-03-02T20:45:07.369770
ba8c0774,Engenheiro(a) de Processos TEMBFF,ACELEN,https://acelen.jobs.recrut.ai/job/TEMBFF,2026-03-02T20:45:07.369770
65969dd6,OPERADOR(A) DE CARREGAMENTO 9NM8V8,ACELEN,https://acelen.jobs.recrut.ai/job/9NM8V8,2026-03-02T20:45:07.369770
