id,titulo,empresa,link,data_coleta
85a70b1b,"Advogado Júnior (Contratos e Compliance)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10789592?jobBoardSource=gupy_public_page,
b9f58d70,"Analista de Benefícios
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10756655?jobBoardSource=gupy_public_page,
232056c2,"Analista de Benefícios e Remuneração Sr
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10818405?jobBoardSource=gupy_public_page,
e5d640c4,"Analista de Custos - Engenharia
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10794255?jobBoardSource=gupy_public_page,
1b890aeb,"Analista de Departamento Pessoal
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10825128?jobBoardSource=gupy_public_page,
edb3c630,"Analista de Processos Jr
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10400445?jobBoardSource=gupy_public_page,
40ed0dfb,"Analista de Recrutamento e Seleção
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10760993?jobBoardSource=gupy_public_page,
d9fcf81e,"Analista de Recursos Humanos (Folha de pagamento)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10325866?jobBoardSource=gupy_public_page,
f33a2dcf,"Analista de Recursos Humanos (Folha de pagamento) BYD Camaçari (Divisão 2)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10828276?jobBoardSource=gupy_public_page,
36abea10,"Assistente Administrativo - BYD Camaçari (Divisão 2)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10782751?jobBoardSource=gupy_public_page,
d395b29f,"Assistente Administrativo- Conhecimento em Libras
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10823380?jobBoardSource=gupy_public_page,
a6545f6f,"Assistente de Equipamentos - BYD Camaçari (Divisão 2)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10783080?jobBoardSource=gupy_public_page,
900aa567,"Assistente de Planejamento - BYD Camaçari (Divisão 2)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10782924?jobBoardSource=gupy_public_page,
b8f0811e,"Assistente de Produção - BYD Camaçari (Divisão 2)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10783049?jobBoardSource=gupy_public_page,
13552eb0,"Assistente Qualidade - BYD Camaçari (Divisão 2)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10782856?jobBoardSource=gupy_public_page,
a050aae3,"Auxiliar de Cozinha
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/9526532?jobBoardSource=gupy_public_page,
9c07e0c3,"Auxiliar Operacional - Gestão de resíduos
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10692230?jobBoardSource=gupy_public_page,
080a1ac5,"Banco de Talentos - BYD Bahia
Camaçari - BA
Banco de talentos",BYD,https://bydbrasil.gupy.io/jobs/5113711?jobBoardSource=gupy_public_page,
7c396ce0,"Condutor Interno - Segundo Turno
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10699224?jobBoardSource=gupy_public_page,
fe40355f,"Cozinheiro
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/9526622?jobBoardSource=gupy_public_page,
eaa6d689,"Engenheiro de Carbono e Energia
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10844581?jobBoardSource=gupy_public_page,
4a2ab9d5,"Engenheiro de ESG (Governança e Estratégia)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10842723?jobBoardSource=gupy_public_page,
7c7d438f,"Engenheiro de Responsabilidade Social (Relações Comunitárias)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10844405?jobBoardSource=gupy_public_page,
0bf41ce4,"Engenheiro Eletricista
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10725027?jobBoardSource=gupy_public_page,
