id,titulo,empresa,link,data_coleta
a7de1a24,Banco de Talento Afirmativo para LGBTI+,MOSAIC,https://mosaic.wd5.myworkdayjobs.com/pt-BR/mosaic/job/Banco-de-Talento-Afirmativo-para-LGBTI-_48707?q=Candeias,
a97de6ef,Banco de Talentos - Afirmativo para Mulheres (abrangência nacional),MOSAIC,https://mosaic.wd5.myworkdayjobs.com/pt-BR/mosaic/job/BR---Virtual---Brazil-Sales/Banco-de-Talentos---Afirmativo-para-Mulheres--abrangncia-nacional-_55939?q=Candeias,
29211332,Banco de Talentos Afirmativo para Profissionais com Deficiência - PCD,MOSAIC,https://mosaic.wd5.myworkdayjobs.com/pt-BR/mosaic/job/BR---Virtual---Brazil-Sales/Banco-de-Talentos-Exclusivo-para-Profissionais-com-Deficincia---PCD_35768?q=Candeias,
3828e729,BANCO DE TALENTOS - Pessoa com Deficiência,BRACELL,https://averis.wd3.myworkdayjobs.com/pt-BR/RGE/job/Camaari/BANCO-DE-TALENTOS---Pessoa-com-Deficincia_R189866?q=Cama%C3%A7ari,
1ea3b4c5,BANCO DE TALENTOS - Mulheres na Operação e Manutenção,BRACELL,https://averis.wd3.myworkdayjobs.com/pt-BR/RGE/job/Camaari/BANCO-DE-TALENTOS---Mulheres-na-Operao-e-Manuteno_R189870?q=Cama%C3%A7ari,
2f243f6c,BANCO DE TALENTOS - Pessoa com Deficiência,BRACELL,https://averis.wd3.myworkdayjobs.com/pt-BR/RGE/job/Alagoinhas/BANCO-DE-TALENTOS---Pessoa-com-Deficincia_R189869?q=Alagoinhas,
51d9ce5c,BANCO DE TALENTOS,BRACELL,https://averis.wd3.myworkdayjobs.com/pt-BR/RGE/job/Alagoinhas/Banco-de-Talentos_R178510?q=Alagoinhas,
acb223bc,Banco de talentos Pessoas Negras,BRASKEM,https://epiw.fa.la1.oraclecloud.com/hcmUI/CandidateExperience/pt-BR/sites/CX_1001/job/932/,2026-02-15T23:08:13.156716
bbca6c51,Banco de Talentos - MFX,MFX,https://mfx.inhire.app/vagas/049b0f53-f71d-464e-ada3-adcb99547164/banco-de-talentos-mfx,2026-04-03T15:32:12.157328
0b6f333b,Estagiário de Engenharia Elétrica,MFX,https://mfx.inhire.app/vagas/8da6c462-6376-46fe-9bd1-f0256ce2391b/estagiario-de-engenharia-eletrica,2026-04-03T15:32:12.157328
ce1dedc5,Estagiário da Qualidade,MFX,https://mfx.inhire.app/vagas/5541cb09-f678-4e1c-b3ce-20fe159e2f99/estagiario-da-qualidade,2026-04-14T21:34:12.438426
56efd4d9,Auxiliar Administrativo – PCD,INTERMARÍTIMA,https://intermaritima.inhire.app/vagas/cd23356a-df6d-4486-b398-51221f06e4ea/auxiliar-administrativo-pcd,2026-04-15T21:25:25.949823
277f9849,Cadastro de Currículos – Banco de Talentos (Feira Empregabilidade),INTERMARÍTIMA,https://intermaritima.inhire.app/vagas/3a5a6b4a-8e33-412f-ab0c-49d6e47bf1db/cadastro-de-curriculos-banco-de-talentos-feira-empregabilidade,2026-04-15T21:25:25.949823
e1912f99,Banco de Talentos - Fábrica,JDE PEET'S,https://careers-br.jdepeets.com/pt-BR/job-posting-detail/?id=744000128216105,2026-05-25T16:53:37.923813
1592684e,Ajudante de Produção (Banco de Talentos),BRIDGESTONE,https://bridgestone.wd5.myworkdayjobs.com/pt-BR/LATAMExternalCareers/job/Baha-Brazil/Ajudante-de-Produo--Banco-de-Talentos-_2026_12364?q=Bahia,2026-05-27T21:42:54.011470
40451d3b,Técnico Mecatrônico,BRIDGESTONE,https://bridgestone.wd5.myworkdayjobs.com/pt-BR/LATAMExternalCareers/job/Baha-Brazil/Tcnico-Mecatrnico_2026_13488?q=Bahia,2026-06-09T21:35:20.352848
8a6d761b,"Advogado Pleno – Governança de Dados e Compliance Regulatório
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/11259225?jobBoardSource=gupy_public_page,2026-06-16T14:10:48.613006
603b22b7,"Advogado Sênior (Contencioso)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/11070180?jobBoardSource=gupy_public_page,2026-06-16T14:10:48.613006
3f94dc2a,"Analista de Gestão de Ativos de TI Sênior
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/11437854?jobBoardSource=gupy_public_page,2026-06-16T14:10:48.613006
